procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1  86128 63723660   4000 870996    0    0  2328     0 1627  662  2  0 96  2  0
 1  1  86128 63723164   4000 870996    0    0  2148     0 1639  644  2  0 96  2  0
 1  1  86128 63722156   4000 870996    0    0  2232     0 1697  740  2  0 96  2  0
 1  1  86128 63721660   4000 870996    0    0  2028     0 1596  568  2  0 96  2  0
 1  1  86128 63721148   4000 870996    0    0  2192     0 1614  642  2  0 96  2  0
 1  1  86128 63720652   4000 870996    0    0  1832     8 1583  566  2  0 96  2  0
 1  1  86128 63720156   4000 870996    0    0  2052     0 1635  654  2  0 96  2  0
 1  1  86128 63719164   4000 870996    0    0  2160     0 1625  600  2  0 96  2  0
 1  1  86128 63718668   4000 870996    0    0  2020     0 1539  552  2  0 96  2  0
 1  1  86128 63718172   4000 870996    0    0  2212     0 1642  660  2  0 96  2  0
 1  1  86128 63717676   4000 870996    0    0  1692   300 1585  604  2  0 96  2  0
 1  1  86128 63717180   4000 870996    0    0  2096     4 1625  606  2  0 96  2  0
 1  1  86128 63718428   4000 870996    0    0  2304     0 1673  694  2  0 96  2  0
 1  1  86128 63717436   4000 870996    0    0  1944     0 1570  526  2  0 96  2  0
 1  1  86128 63716992   4000 870996    0    0  2160     0 1723  730  2  0 96  2  0
 1  1  86128 63718240   4000 870996    0    0  2008    38 1992  872  2  0 96  2  0
 1  1  86128 63717744   4000 870996    0    0  2060     0 1551  574  2  0 96  2  0
 1  1  86128 63717248   4000 870996    0    0  2024    48 1600  578  2  0 96  2  0
 1  1  86128 63716752   4000 870996    0    0  2036     0 1629  664  2  0 96  2  0
 1  1  86128 63715760   4000 870996    0    0  2220     0 1632  624  2  0 96  2  0
 1  1  86128 63715256   4000 870996    0    0  2000     0 1537  574  2  0 96  2  0
 1  1  86128 63714760   4000 870996    0    0  2392     0 1686  684  2  0 96  2  0
 1  1  86128 63714264   4000 870996    0    0  2112     0 1634  652  2  0 96  2  0
 1  1  86128 63713768   4000 870996    0    0  2028     8 1599  606  2  0 96  2  0
 1  1  86128 63713272   4000 870996    0    0  2048     0 1543  568  2  0 96  2  0
 1  1  86128 63712776   4000 870996    0    0  2036     0 1620  588  2  0 96  2  0
 1  1  86128 63712280   4000 870996    0    0  1976     0 1613  650  2  0 96  2  0
 1  1  86128 63711784   4000 870996    0    0  2156     0 1619  618  2  0 96  2  0
 1  1  86128 63711288   4000 870996    0    0  1888     8 1502  528  2  0 96  2  0
 1  1  86128 63710792   4000 870996    0    0  2288     0 1657  657  2  0 96  2  0
 1  1  86128 63710296   4000 870996    0    0  2528     0 1759  806  2  0 96  2  0
 1  1  86128 63709800   4000 870996    0    0  2252     0 1665  666  2  0 96  2  0
 1  1  86128 63709304   4000 870996    0    0  1980     0 1520  550  2  0 96  2  0
 1  1  86128 63708312   4000 870996    0    0  2216     4 1631  592  2  0 96  2  0
 1  1  86128 63707816   4000 870996    0    0  2048     0 1640  688  2  0 96  2  0
 1  1  86128 63707320   4000 870996    0    0  2236     0 1676  638  2  0 96  2  0
 1  1  86128 63706824   4000 870996    0    0  2228     0 1603  624  2  0 96  2  0
 1  1  86128 63706328   4000 870996    0    0  2036     0 1598  568  2  0 96  2  0
 1  1  86128 63705832   4000 870996    0    0  2232     0 1672  724  2  0 96  2  0
 1  1  86128 63705336   4000 870996    0    0  2048     8 1597  574  2  0 96  2  0
 1  1  86128 63704840   4000 870996    0    0  1956   310 1599  624  2  0 96  2  0
 1  1  86128 63704344   4000 870996    0    0  2072     0 1602  570  2  0 96  2  0
 1  1  86128 63703848   4000 870996    0    0  2388     0 1736  778  2  0 96  2  0
 1  1  86128 63703352   4000 870996    0    0  2156     0 1626  616  2  0 96  2  0
 1  1  86128 63702856   4000 870996    0    0  2148     0 1585  612  2  0 96  2  0
 1  1  86128 63702360   4000 870996    0    0  2212     8 1660  672  2  0 96  2  0
 1  1  86128 63701856   4000 870996    0    0  2100     0 1677  736  2  0 96  2  0
 1  1  86128 63701360   4000 870996    0    0  2148     0 1606  578  2  0 96  2  0
 1  1  86128 63699356   4000 870996    0    0  2060     0 1744  717  2  0 96  2  0
 1  1  86128 63698860   4000 870996    0    0  2388     0 1680  670  2  0 96  2  0
 1  1  86124 63693256   4000 872804    0    0  4632     0 5519 1706  2  1 95  2  0
 1  2  86124 63686028   4000 880340    0    0  7784    24 4934 1424  2  0 95  3  0
 2  2  86124 63681140   4000 885268    0    0  5888     0 4517 1353  2  0 95  3  0
 1  2  86124 63675652   4000 891500    0    0  6984     0 5515 1507  2  0 95  3  0
 1  1  86124 63666780   4000 900704    0    0  9548     0 6579 1548  2  0 95  3  0
 1  1  86120 63664408   4000 903968    0    0  5488     0 4285 1399  2  0 95  2  0
 1  1  86120 63663912   4000 903968    0    0  2148     0 1636  650  2  0 96  2  0
 1  1  86120 63663416   4000 903968    0    0  2188    24 1714  654  2  0 96  2  0
 1  1  86120 63662920   4000 903968    0    0  2340     0 1748  776  2  0 96  2  0
 1  1  86120 63662424   4000 903968    0    0  2024     0 1608  624  2  0 96  2  0
 1  1  86120 63662424   4000 903968    0    0  2396     0 1650  718  2  0 96  2  0
 1  1  86120 63661432   4000 903968    0    0  2056     0 1608  606  2  0 96  2  0
 1  1  86120 63660936   4000 903968    0    0  2168     0 1666  702  2  0 96  2  0
 1  1  86120 63660936   4000 903968    0    0  2256     4 1683  694  2  0 96  2  0
 1  1  86120 63660440   4000 903968    0    0  2244     0 1618  664  2  0 96  2  0
 1  1  86120 63659448   4000 903968    0    0  2052     0 1602  570  2  0 96  2  0
 1  1  86120 63658952   4000 903968    0    0  2388     0 1744  822  2  0 96  2  0
 1  1  86120 63658456   4000 903968    0    0  2172     0 1629  630  2  0 96  2  0
 1  1  86120 63658456   4000 903968    0    0  2320     0 1642  706  2  0 96  2  0
 1  1  86120 63657960   4000 903968    0    0  2188     8 1634  630  2  0 96  2  0
 1  1  86120 63657464   4000 903968    0    0  2292   224 1772  834  2  0 96  2  0
 1  1  86120 63656968   4000 903968    0    0  2456     0 1708  722  2  0 96  2  0
 1  1  86120 63656472   4000 903968    0    0  2584     0 1692  754  2  0 96  2  0
 1  1  86120 63655976   4000 903968    0    0  2120     0 1621  600  2  0 96  2  0
 1  1  86120 63655480   4000 903968    0    0  2236     0 1686  720  2  0 96  2  0
 1  1  86120 63654984   4000 903968    0    0  2504    12 1749  732  2  0 96  2  0
 1  1  86120 63654488   4000 903968    0    0  2268     0 1612  656  2  0 96  2  0
 1  1  86120 63653992   4000 903968    0    0  2376     0 1694  666  2  0 96  2  0
 1  1  86120 63653496   4000 903968    0    0  2248     0 1692  742  2  0 96  2  0
 1  1  86120 63653496   4000 903968    0    0  2288     0 1669  644  2  0 96  2  0
 1  1  86120 63653000   4000 903968    0    0  2212     0 1589  638  2  0 96  2  0
 1  1  86120 63652504   4000 903968    0    0  2344     4 1680  672  2  0 96  2  0
 1  1  86120 63652008   4000 903968    0    0  2232     0 1679  732  2  0 96  2  0
 1  1  86120 63651504   4000 903968    0    0  2588     0 1726  722  2  0 96  2  0
 1  1  86120 63651008   4000 903968    0    0  2408     0 1657  742  2  0 96  2  0
 1  1  86120 63650512   4000 903968    0    0  2516     0 1731  740  2  0 96  2  0
 1  1  86120 63650016   4000 903968    0    0  2484     0 1768  856  2  0 96  2  0
 1  1  86120 63649520   4000 903968    0    0  2224     8 1665  682  2  0 96  2  0
 1  1  86120 63649024   4000 903968    0    0  2400     0 1648  718  2  0 96  2  0
 1  1  86120 63648528   4000 903968    0    0  2424     0 1712  712  2  0 96  2  0
 1  1  86120 63648032   4000 903968    0    0  2408     0 1744  808  2  0 96  2  0
 1  1  86120 63647536   4000 903968    0    0  2368     0 1689  664  2  0 96  2  0
 1  1  86120 63647040   4000 903968    0    0  2456     0 1649  688  2  0 96  2  0
 1  1  86120 63647040   4000 903968    0    0  1824     8 1558  518  2  0 96  2  0
 1  1  86120 63646544   4000 903968    0    0  2624     0 1797  852  2  0 96  2  0
 1  1  86120 63646048   4000 903968    0    0  2548     0 1780  780  2  0 96  2  0
 1  1  86120 63645552   4000 903968    0    0  2564     0 1712  772  2  0 96  2  0
 1  1  86120 63645056   4000 903968    0    0  2504     0 1728  726  2  0 96  2  0
 1  1  86120 63644560   4000 903968    0    0  2304     0 1751  740  2  0 96  2  0
 1  1  86120 63644560   4000 903968    0    0  2212     8 1752  672  2  0 96  2  0
 1  1  86120 63644064   4000 903968    0    0  2040   338 1696  690  2  0 96  2  0
 1  1  86120 63643568   4000 903968    0    0  2192     0 1637  610  2  0 96  2  0
 1  1  86120 63643072   4000 903968    0    0  2164     0 1674  714  2  0 96  2  0
 1  1  86120 63643072   4000 903968    0    0  2624     0 1778  796  2  0 96  2  0
 1  1  86120 63642624   4000 903968    0    0  2508     0 1701  738  2  0 96  2  0
 1  1  86120 63642128   4000 903968    0    0  2476     4 1742  732  2  0 96  2  0
 1  1  86120 63641632   4000 903968    0    0  2236     0 1687  738  2  0 96  2  0
 1  1  86120 63641136   4000 903968    0    0  2208     0 1649  652  2  0 96  2  0
 1  1  86120 63640640   4000 903968    0    0  2224     0 1602  660  2  0 96  2  0
 1  1  86120 63640640   4000 903968    0    0  2656     0 1762  768  2  0 96  2  0
 1  1  86120 63640144   4000 903968    0    0  2600     0 1799  878  2  0 96  2  0
 1  1  86120 63639648   4000 903968    0    0  2232     8 1672  666  2  0 96  2  0
 1  1  86120 63639152   4000 903968    0    0  2556     0 1688  760  2  0 96  2  0
 1  1  86120 63638688   4000 903968    0    0  2368     0 1696  704  2  0 96  2  0
 1  1  86120 63638176   4000 903968    0    0  2636     0 1834  900  2  0 96  2  0
 1  1  86120 63637680   4000 903968    0    0  2436     0 1743  768  2  0 96  2  0
 1  1  86120 63637184   4000 903968    0    0  2696     0 1744  828  2  0 96  2  0
 1  1  86120 63636688   4000 903968    0    0  2184     8 1637  640  2  0 96  2  0
 1  1  86120 63636688   4000 903968    0    0  2388     0 1753  794  2  0 96  2  0
 1  1  86120 63636192   4000 903968    0    0  2192     0 1646  638  2  0 96  2  0
 1  1  86120 63635696   4000 903968    0    0  2604     0 1698  764  2  0 96  2  0
 1  1  86120 63635200   4000 903968    0    0  2624     0 1775  776  2  0 96  2  0
 1  1  86120 63634704   4000 903968    0    0  2424     0 1758  824  2  0 96  2  0
 1  1  86120 63634704   4000 903968    0    0  2652    12 1811  858  2  0 96  2  0
 1  1  86120 63634140   4000 903968    0    0  2080     0 1555  604  2  0 96  2  0
 1  1  86120 63633636   4000 903968    0    0  2216     0 1676  660  2  0 96  2  0
 1  1  86120 63633132   4000 903968    0    0  2340     0 1719  790  2  0 96  2  0
 1  1  86120 63633132   4000 903968    0    0  2232     0 1663  652  2  0 96  2  0
 1  1  86120 63632636   4000 903968    0    0  2212     0 1609  672  2  0 96  2  0
 1  1  86120 63632132   4000 903968    0    0  2168     4 1633  626  2  0 96  2  0
 1  1  86120 63631636   4000 903968    0    0  2140   317 1716  772  2  0 96  2  0
 1  1  86120 63631636   4000 903968    0    0  2192     0 1645  644  2  0 96  2  0
 1  1  86120 63631132   4000 903968    0    0  2424     0 1644  672  2  0 96  2  0
 1  1  86120 63630628   4000 903968    0    0  2308     0 1689  686  2  0 96  2  0
 1  1  86120 63630132   4000 903968    0    0  2264     0 1704  754  2  0 96  2  0
 1  1  86120 63630132   4000 903968    0    0  2364     8 1738  748  2  0 96  2  0
 1  1  86120 63629628   4000 903968    0    0  2740     0 1723  786  2  0 96  2  0
 1  1  86120 63629132   4000 903968    0    0  2152     0 1632  624  2  0 96  2  0
 1  1  86120 63629132   4000 903968    0    0  2348     0 1731  780  2  0 96  2  0
 1  1  86120 63628628   4000 903968    0    0  2524     0 1730  724  2  0 96  2  0
 1  1  86120 63628124   4000 903968    0    0  2288     0 1623  692  2  0 96  2  0
 1  1  86120 63627628   4000 903968    0    0  2256     8 1715  694  2  0 96  2  0
 1  1  86120 63627628   4000 903968    0    0  2212     0 1728  756  2  0 96  2  0
 1  1  86120 63627124   4000 903968    0    0  2704     0 1848  786  2  0 96  2  0
 1  1  86120 63626628   4000 903968    0    0  2212     0 1608  662  2  0 96  2  0
 1  1  86120 63626628   4000 903968    0    0  2700     0 1798  800  2  0 96  2  0
 1  1  86120 63626124   4000 903968    0    0  2476     0 1757  824  2  0 96  2  0
 1  1  86120 63625620   4000 903968    0    0  2460     8 1729  726  2  0 96  2  0
 1  1  86120 63625620   4000 903968    0    0  2644     0 1704  756  2  0 96  2  0
 1  1  86120 63625124   4000 903968    0    0  2684     0 1771  778  2  0 96  2  0
 1  1  86120 63624620   4000 903968    0    0  2680     0 1817  888  2  0 96  2  0
 1  1  86120 63624620   4000 903968    0    0  2580     0 1778  766  2  0 96  2  0
 1  1  86120 63624124   4000 903968    0    0  2284     0 1591  618  2  0 96  2  0
 1  1  86120 63623620   4000 903968    0    0  2468     8 1740  744  2  0 96  2  0
 1  1  86120 63623676   4000 903968    0    0  2792     0 1847  900  2  0 96  2  0
 1  1  86120 63623172   4000 903968    0    0  2556     0 1784  788  2  0 96  2  0
 1  1  86120 63622676   4000 903968    0    0  2540     0 1715  800  2  0 96  2  0
 1  1  86120 63622676   4000 903968    0    0  2444     0 1722  724  2  0 96  2  0
